Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
orig.scorep.nas.is.16.256,0.05,0.09,0.00,0.09
orig.scorep.nas.lu.16.256,0.64,0.17,0.00,0.17
orig.scorep.nas.mg.16.256,0.38,0.22,0.00,0.22
orig.scorep.nas.sp.16.256,0.00,0.01,0.00,0.01
orig.tau.nas.bt.16.256,0.22,0.09,2.60,0.09
orig.tau.nas.cg.16.256,1.35,0.24,2.51,0.24
orig.tau.nas.ep.16.256,0.00,0.03,0.31,0.03
orig.tau.nas.ft.16.256,0.00,0.01,0.11,0.01
orig.tau.nas.is.16.256,0.16,0.17,4.12,0.17
orig.tau.nas.lu.16.256,15.33,0.34,1.38,0.34
orig.tau.nas.mg.16.256,0.53,0.24,1.33,0.24
orig.tau.nas.sp.16.256,0.03,0.03,0.01,0.03
orig.mpicc.nas.bt.64.1024,0.28,0.16,0.00,0.16
orig.mpicc.nas.cg.64.1024,0.04,0.06,0.00,0.06
orig.mpicc.nas.ep.64.1024,0.00,0.01,0.00,0.01
orig.mpicc.nas.ft.64.1024,0.00,0.02,0.00,0.02
orig.mpicc.nas.is.64.1024,6.34,0.51,0.00,0.51
orig.mpicc.nas.lu.64.1024,0.19,0.13,0.00,0.13
orig.mpicc.nas.mg.64.1024,0.00,0.02,0.00,0.02
orig.mpicc.nas.sp.64.1024,0.00,0.02,0.00,0.02
orig.scorep.nas.bt.64.1024,0.04,0.04,0.00,0.04
orig.scorep.nas.cg.64.1024,9.19,0.58,0.00,0.58
orig.scorep.nas.ep.64.1024,0.79,0.28,0.00,0.28
orig.scorep.nas.ft.64.1024,8.15,0.37,0.00,0.37
orig.scorep.nas.is.64.1024,0.21,0.07,0.00,0.07
orig.scorep.nas.lu.64.1024,1.02,0.17,0.00,0.17
orig.scorep.nas.mg.64.1024,0.06,0.07,0.00,0.07
orig.scorep.nas.sp.64.1024,0.03,0.02,0.00,0.02
orig.tau.nas.bt.64.1024,1.09,0.16,158.07,0.16
orig.tau.nas.cg.64.1024,0.34,0.10,0.51,0.10
orig.tau.nas.ep.64.1024,47.59,0.67,133.41,0.67
orig.tau.nas.ft.64.1024,0.11,0.07,24.23,0.07
orig.tau.nas.is.64.1024,0.50,0.11,1.12,0.11
orig.tau.nas.lu.64.1024,0.01,0.01,3.48,0.01
