Experiment,Runtime Variance, Runtime Ratio, Size Variance, Size Ratio
orig.scorep.nas.is.16.256,0.06,0.09,0.00,0.09
orig.scorep.nas.lu.16.256,0.64,0.17,0.00,0.17
orig.scorep.nas.mg.16.256,10.49,0.92,0.00,0.92
orig.scorep.nas.sp.16.256,4.54,0.35,0.00,0.35
orig.tau.nas.bt.16.256,0.22,0.09,2.60,0.09
orig.tau.nas.cg.16.256,1.36,0.24,2.51,0.24
orig.tau.nas.ep.16.256,0.74,0.39,0.31,0.39
orig.tau.nas.ft.16.256,0.17,0.11,0.11,0.11
orig.tau.nas.is.16.256,0.16,0.17,4.12,0.17
orig.tau.nas.lu.16.256,15.85,0.35,239.74,0.35
orig.tau.nas.mg.16.256,6.33,0.76,300.67,0.76
orig.tau.nas.sp.16.256,0.05,0.04,0.11,0.04
orig.mpicc.nas.bt.64.1024,0.53,0.24,0.00,0.24
orig.mpicc.nas.cg.64.1024,0.61,0.27,0.00,0.27
orig.mpicc.nas.ep.64.1024,0.11,0.15,0.00,0.15
orig.mpicc.nas.ft.64.1024,0.07,0.07,0.00,0.07
orig.mpicc.nas.is.64.1024,6.34,0.51,0.00,0.51
orig.mpicc.nas.lu.64.1024,0.37,0.22,0.00,0.22
orig.mpicc.nas.mg.64.1024,24.85,1.27,0.00,1.27
orig.mpicc.nas.sp.64.1024,6.44,0.62,0.00,0.62
orig.scorep.nas.bt.64.1024,0.04,0.04,0.00,0.04
orig.scorep.nas.cg.64.1024,9.19,0.58,0.00,0.58
orig.scorep.nas.ep.64.1024,0.79,0.28,0.00,0.28
orig.scorep.nas.ft.64.1024,8.15,0.37,0.00,0.37
orig.scorep.nas.is.64.1024,0.40,0.11,0.00,0.11
orig.scorep.nas.lu.64.1024,1.11,0.19,0.00,0.19
orig.scorep.nas.mg.64.1024,20.47,0.94,0.00,0.94
orig.scorep.nas.sp.64.1024,0.28,0.09,0.00,0.09
orig.tau.nas.bt.64.1024,1.09,0.16,158.78,0.16
orig.tau.nas.cg.64.1024,0.44,0.12,0.63,0.12
orig.tau.nas.ep.64.1024,88.07,1.19,307.91,1.19
orig.tau.nas.ft.64.1024,0.11,0.07,44.25,0.07
orig.tau.nas.is.64.1024,1.15,0.20,1.92,0.20
orig.tau.nas.lu.64.1024,3.32,0.13,5879.63,0.13
orig.tau.nas.mg.64.1024,34.15,0.97,6386.60,0.97
orig.tau.nas.sp.64.1024,3.02,0.18,4221.87,0.18
pinAll.mpicc.nas.bt.1.16,0.10,0.01,7617.64,0.01
pinAll.mpicc.nas.cg.1.16,0.04,0.02,64.21,0.02
pinAll.mpicc.nas.ep.1.16,0.13,0.02,160.43,0.02
pinAll.mpicc.nas.ft.1.16,0.08,0.01,28.96,0.01
pinAll.mpicc.nas.is.1.16,0.00,0.01,1.53,0.01
pinAll.mpicc.nas.lu.1.16,0.79,0.03,14186.43,0.03
pinAll.mpicc.nas.mg.1.16,2.44,0.20,169.59,0.20
pinAll.mpicc.nas.sp.1.16,0.02,0.00,35977.47,0.00
pinAll.mpicc.nas.bt.4.64,0.01,0.01,171089.68,0.01
pinAll.mpicc.nas.cg.4.64,1.03,0.13,11361.76,0.13
pinAll.mpicc.nas.ep.4.64,0.38,0.08,59.02,0.08
pinAll.mpicc.nas.ft.4.64,0.01,0.01,496.24,0.01
pinAll.mpicc.nas.is.4.64,0.31,0.10,509.03,0.10
pinAll.mpicc.nas.lu.4.64,0.59,0.06,188937.18,0.06
