Job,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,percentage,avg
tau_exec.mpicc.nas.cg.1.16,1.03,0.95,1.03,1.04,0.96,1.04,1.04,0.96,1.04,0.33,1.01
tau_exec.mpicc.nas.cg.16.256,1.00,1.17,1.13,0.89,1.05,1.01,1.05,1.23,1.19,0.22,1.08
tau_exec.mpicc.nas.cg.4.64,1.13,0.98,1.15,1.12,0.97,1.14,1.19,1.03,1.21,0.22,1.10
tau_exec.mpicc.nas.ep.1.16,1.04,1.04,0.88,0.96,0.97,0.82,0.97,0.97,0.82,0.78,0.94
tau_exec.mpicc.nas.ep.16.256,0.74,0.87,1.14,0.81,0.94,1.24,0.61,0.71,0.94,0.78,0.89
tau_exec.mpicc.nas.ep.4.64,1.04,0.89,0.77,1.02,0.87,0.76,0.96,0.82,0.71,0.78,0.87
tau_exec.mpicc.nas.ft.1.16,0.98,0.91,0.98,0.98,0.91,0.99,0.98,0.91,0.98,1.00,0.96
tau_exec.mpicc.nas.ft.4.64,0.89,0.91,0.87,0.83,0.85,0.81,0.90,0.92,0.88,1.00,0.87
tau_exec.mpicc.nas.is.1.16,0.87,1.01,0.75,0.81,0.93,0.70,1.10,1.28,0.95,0.67,0.93
tau_exec.mpicc.nas.is.16.256,0.86,0.87,0.61,0.89,0.89,0.63,1.10,1.10,0.78,0.78,0.86
tau_exec.mpicc.nas.is.4.64,0.93,0.95,0.47,0.93,0.95,0.47,1.35,1.38,0.68,0.78,0.90
tau_exec.mpicc.nas.mg.1.16,0.92,1.57,1.56,0.58,0.99,0.99,0.59,1.01,1.01,0.56,1.03
tau_exec.mpicc.nas.mg.16.256,0.78,2.11,2.12,0.36,0.98,0.99,0.38,1.03,1.03,0.56,1.09
tau_exec.mpicc.nas.mg.4.64,1.00,2.06,2.13,0.48,0.98,1.01,0.49,1.00,1.03,0.33,1.13
tau_exec.mpicc.nas.mg.64.1024,1.05,3.32,3.37,0.67,2.14,2.17,0.52,1.64,1.67,0.22,1.84
tau_exec.mpicc.nas.sp.1.16,1.01,1.01,1.00,1.00,1.00,0.99,1.00,1.00,0.99,0.33,1.00
tau_exec.mpicc.nas.sp.16.256,0.97,0.95,0.97,1.13,1.10,1.13,1.02,1.00,1.03,0.44,1.03
tau_exec.mpicc.nas.sp.4.64,0.98,1.05,1.05,1.02,1.10,1.10,0.99,1.06,1.07,0.22,1.05
