experiment,compression ratio,slowdown
wpinMain.mpicc.nas.is.16.256,11569.80,9.41
wpinMain.mpicc.nas.is.4.64,4731.69,3.14
wpinMain.mpicc.nas.is.64.1024,17077.84,5.10
wpinMain.mpicc.nas.lu.1.16,271.80,1.10
wpinMain.mpicc.nas.lu.16.256,1539.31,14.30
wpinMain.mpicc.nas.lu.4.64,876.40,6.36
wpinMain.mpicc.nas.lu.64.1024,3493.15,23.78
wpinMain.mpicc.nas.mg.1.16,264.86,1.15
wpinMain.mpicc.nas.mg.16.256,8796.54,14.81
wpinMain.mpicc.nas.mg.4.64,5104.94,8.67
wpinMain.mpicc.nas.mg.64.1024,10903.54,9.29
wpinMain.mpicc.nas.sp.1.16,2804.95,1.44
wpinMain.mpicc.nas.sp.16.256,6078.07,39.23
wpinMain.mpicc.nas.sp.4.64,2905.47,10.17
wpinMain.mpicc.nas.sp.64.1024,8448.52,44.41
