Job,sd1,sd2,sd3,sd4,sd5,sd6,sd7,sd8,sd9,percentage,AVG of Slowdowns
tau_exec.mpicc.nas.cg.4,1.14,1.12,0.97,1.15,1.13,0.98,1.21,1.19,1.03,0.22,1.10
tau_exec.mpicc.nas.ep.1,0.97,0.96,0.82,0.97,0.97,0.82,1.04,1.04,0.88,0.78,0.94
tau_exec.mpicc.nas.ep.16,0.94,0.71,0.61,1.14,0.87,0.74,1.24,0.94,0.81,0.78,0.89
tau_exec.mpicc.nas.ep.4,0.96,0.82,0.71,1.02,0.87,0.76,1.04,0.89,0.77,0.78,0.87
tau_exec.mpicc.nas.ft.1,0.98,0.98,0.91,0.98,0.98,0.91,0.99,0.98,0.91,1.00,0.96
tau_exec.mpicc.nas.ft.4,0.85,0.83,0.81,0.91,0.89,0.87,0.92,0.90,0.88,1.00,0.87
tau_exec.mpicc.nas.is.1,0.93,0.81,0.70,1.01,0.87,0.75,1.28,1.10,0.95,0.67,0.93
tau_exec.mpicc.nas.is.16,0.87,0.86,0.61,0.89,0.89,0.63,1.10,1.10,0.78,0.78,0.86
tau_exec.mpicc.nas.is.4,0.95,0.93,0.47,0.95,0.93,0.47,1.38,1.35,0.68,0.78,0.90
tau_exec.mpicc.nas.mg.1,0.99,0.99,0.58,1.01,1.01,0.59,1.57,1.56,0.92,0.56,1.03
tau_exec.mpicc.nas.mg.16,0.99,0.98,0.36,1.03,1.03,0.38,2.12,2.11,0.78,0.56,1.09
tau_exec.mpicc.nas.mg.4,1.01,0.98,0.48,1.03,1.00,0.49,2.13,2.06,1.00,0.33,1.13
tau_exec.mpicc.nas.mg.64,1.67,1.64,0.52,2.17,2.14,0.67,3.37,3.32,1.05,0.22,1.84
tau_exec.mpicc.nas.sp.1,1.00,1.00,0.99,1.00,1.00,0.99,1.01,1.01,1.00,0.33,1.00
tau_exec.mpicc.nas.sp.16,0.97,0.97,0.95,1.03,1.02,1.00,1.13,1.13,1.10,0.44,1.03
tau_exec.mpicc.nas.sp.4,1.05,1.05,0.98,1.07,1.06,0.99,1.10,1.10,1.02,0.22,1.05
