chpc.pinMain.o1.mpicc.nas.bt.A.1.1,0.0,0.0,0.0,0,
chpc.pinMain.o1.mpicc.nas.bt.A.4.1,0.0,0.0,0.0,0,
chpc.pinMain.o1.mpicc.nas.cg.A.1.1,29.702,0.042,0.046,508857,
chpc.pinMain.o1.mpicc.nas.cg.A.1.2,22.286,0.039,0.045,508857,
chpc.pinMain.o1.mpicc.nas.cg.A.1.3,20.086,0.046,0.038,508857,
chpc.pinMain.o1.mpicc.nas.cg.A.4.1,7.758,0.033,0.05,2035177,
chpc.pinMain.o1.mpicc.nas.cg.A.4.2,6.435,0.039,0.045,2035177,
chpc.pinMain.o1.mpicc.nas.cg.A.4.3,6.378,0.047,0.038,2035177,
chpc.pinMain.o1.mpicc.nas.ep.A.1.1,22.571,0.04,0.045,84570,
chpc.pinMain.o1.mpicc.nas.ep.A.1.2,22.426,0.039,0.039,84570,
chpc.pinMain.o1.mpicc.nas.ep.A.1.3,23.782,0.041,0.04,84570,
chpc.pinMain.o1.mpicc.nas.ep.A.4.1,7.007,0.042,0.05,129178,
chpc.pinMain.o1.mpicc.nas.ep.A.4.2,6.454,0.041,0.042,129178,
chpc.pinMain.o1.mpicc.nas.ep.A.4.3,6.715,0.051,0.037,129178,
chpc.pinMain.o1.mpicc.nas.ft.A.1.1,22.203,0.041,0.045,30049,
chpc.pinMain.o1.mpicc.nas.ft.A.1.2,17.876,0.043,0.035,30049,
chpc.pinMain.o1.mpicc.nas.ft.A.1.3,9.112,0.037,0.04,30049,
chpc.pinMain.o1.mpicc.nas.ft.A.4.1,7.788,0.042,0.052,114673,
chpc.pinMain.o1.mpicc.nas.ft.A.4.2,7.384,0.033,0.037,114673,
chpc.pinMain.o1.mpicc.nas.ft.A.4.3,7.179,0.052,0.037,114673,
chpc.pinMain.o1.mpicc.nas.is.A.1.1,7.668,0.043,0.043,15387,
chpc.pinMain.o1.mpicc.nas.is.A.1.2,6.07,0.038,0.042,15387,
chpc.pinMain.o1.mpicc.nas.is.A.1.3,9.532,0.04,0.041,15387,
chpc.pinMain.o1.mpicc.nas.is.A.4.1,7.167,0.052,0.039,50779,
chpc.pinMain.o1.mpicc.nas.is.A.4.2,7.223,0.033,0.043,50779,
chpc.pinMain.o1.mpicc.nas.is.A.4.3,6.756,0.046,0.039,50779,
chpc.pinMain.o1.mpicc.nas.lu.A.1.1,17.35,0.038,0.048,26383,
chpc.pinMain.o1.mpicc.nas.lu.A.1.2,16.645,0.038,0.046,26383,
chpc.pinMain.o1.mpicc.nas.lu.A.1.3,16.742,0.043,0.038,26383,
chpc.pinMain.o1.mpicc.nas.lu.A.4.1,8.399,0.04,0.051,101306,
chpc.pinMain.o1.mpicc.nas.lu.A.4.2,7.856,0.039,0.04,101306,
chpc.pinMain.o1.mpicc.nas.lu.A.4.3,8.271,0.041,0.042,101306,
chpc.pinMain.o1.mpicc.nas.mg.A.1.1,14.453,0.037,0.051,25175,
chpc.pinMain.o1.mpicc.nas.mg.A.1.2,10.265,0.043,0.04,25175,
chpc.pinMain.o1.mpicc.nas.mg.A.1.3,12.009,0.037,0.04,25175,
chpc.pinMain.o1.mpicc.nas.mg.A.4.1,7.434,0.053,0.041,101202,
chpc.pinMain.o1.mpicc.nas.mg.A.4.2,6.198,0.046,0.039,101202,
chpc.pinMain.o1.mpicc.nas.mg.A.4.3,6.476,0.039,0.047,101202,
chpc.pinMain.o1.mpicc.nas.sp.A.1.1,17.767,0.046,0.041,25978,
chpc.pinMain.o1.mpicc.nas.sp.A.1.2,17.744,0.042,0.042,25978,
chpc.pinMain.o1.mpicc.nas.sp.A.1.3,11.772,0.043,0.035,25978,
chpc.pinMain.o1.mpicc.nas.sp.A.4.1,8.785,0.036,0.06,99514,
chpc.pinMain.o1.mpicc.nas.sp.A.4.2,8.001,0.039,0.038,99514,
chpc.pinMain.o1.mpicc.nas.sp.A.4.3,8.367,0.041,0.048,99514,
