o1,pinAll,mpicc,nas,bt,1,16,1,157.599,0.057,0.08,15705.611328125
o1,pinAll,mpicc,nas,bt,16,256,1,76.747,0.067,0.108,366910.822265625
o1,pinAll,mpicc,nas,bt,4,64,1,46.84,0.051,0.05,79102.271484375
o1,pinAll,mpicc,nas,bt,64,1024,1,103.767,0.147,0.307,1275932.837890625
o1,pinAll,mpicc,nas,cg,1,16,1,35.633,0.039,0.052,12099.86328125
o1,pinAll,mpicc,nas,cg,16,256,1,50.645,0.068,0.098,309908.880859375
o1,pinAll,mpicc,nas,cg,4,64,1,21.928,0.049,0.064,74458.03125
o1,pinAll,mpicc,nas,cg,64,1024,1,118.983,0.126,0.297,1601370.55078125
o1,pinAll,mpicc,nas,ep,1,16,1,64.292,0.038,0.048,6763.4130859375
o1,pinAll,mpicc,nas,ep,16,256,1,34.5,0.064,0.105,141292.8642578125
o1,pinAll,mpicc,nas,ep,4,64,1,28.168,0.052,0.051,35558.650390625
o1,pinAll,mpicc,nas,ep,64,1024,1,53.007,0.135,0.282,563626.3046875
o1,pinAll,mpicc,nas,ft,1,16,1,43.88,0.049,0.037,4931.904296875
o1,pinAll,mpicc,nas,ft,16,256,1,30.27,0.068,0.094,225753.95703125
o1,pinAll,mpicc,nas,ft,4,64,1,26.145,0.044,0.064,50505.7705078125
o1,pinAll,mpicc,nas,ft,64,1024,1,81.28,0.13,0.28,871691.3955078125
o1,pinAll,mpicc,nas,is,1,16,1,13.822,0.037,0.048,3862.810546875
o1,pinAll,mpicc,nas,is,16,256,1,37.101,0.067,0.109,147984.2431640625
o1,pinAll,mpicc,nas,is,4,64,1,15.727,0.043,0.063,33636.658203125
o1,pinAll,mpicc,nas,is,64,1024,1,100.303,0.122,0.294,946721.1064453125
o1,pinAll,mpicc,nas,lu,1,16,1,74.125,0.039,0.047,8896.7314453125
o1,pinAll,mpicc,nas,lu,16,256,1,69.258,0.066,0.114,345841.0810546875
o1,pinAll,mpicc,nas,lu,4,64,1,34.357,0.043,0.064,88997.6650390625
o1,pinAll,mpicc,nas,lu,64,1024,1,37.672,0.143,0.322,1245558.3662109375
o1,pinAll,mpicc,nas,mg,1,16,1,16.779,0.039,0.042,4972.2421875
o1,pinAll,mpicc,nas,mg,16,256,1,23.084,0.069,0.103,163888.0947265625
o1,pinAll,mpicc,nas,mg,4,64,1,17.021,0.046,0.058,40775.4443359375
o1,pinAll,mpicc,nas,mg,64,1024,1,61.222,0.126,0.289,682904.62890625
o1,pinAll,mpicc,nas,sp,1,16,1,170.073,0.031,0.048,6359.8583984375
o1,pinAll,mpicc,nas,sp,16,256,1,31.289,0.063,0.119,322091.490234375
o1,pinAll,mpicc,nas,sp,4,64,1,42.496,0.049,0.06,85269.0810546875
o1,pinAll,mpicc,nas,sp,64,1024,1,75.885,0.127,0.322,1397778.9072265625
