o1,pinMain,nas,lu,mpicc,4,lu,3,504.25,5615530.0,11133.46
o1,pinMain,nas,lu,mpicc,16,lu,1,461.375,3322407.0,7198.735624999999
o1,pinMain,nas,lu,mpicc,16,lu,2,461.75,3341774.75,7234.3481249999995
o1,pinMain,nas,lu,mpicc,16,lu,3,464.625,3391094.5,7297.07375
o1,pinMain,nas,lu,mpicc,64,lu,1,401.4375,2757259.25,6866.148124999998
o1,pinMain,nas,lu,mpicc,64,lu,2,405.0625,2779984.75,6864.427812499998
o1,pinMain,nas,lu,mpicc,64,lu,3,401.21875,2747369.625,6843.299374999999
o1,pinMain,nas,mg,mpicc,1,mg,1,498.0,614870.0,1234.68
o1,pinMain,nas,mg,mpicc,1,mg,2,630.0,609606.0,967.63
o1,pinMain,nas,mg,mpicc,1,mg,3,498.0,614926.0,1234.79
o1,pinMain,nas,mg,mpicc,4,mg,1,516.5,349214.0,677.2449999999999
o1,pinMain,nas,mg,mpicc,4,mg,2,522.0,349282.0,670.6450000000001
o1,pinMain,nas,mg,mpicc,4,mg,3,524.0,349264.0,667.9975
o1,pinMain,nas,mg,mpicc,16,mg,1,404.1875,145954.5,361.61062499999997
o1,pinMain,nas,mg,mpicc,16,mg,2,403.125,145350.75,361.0275
o1,pinMain,nas,mg,mpicc,16,mg,3,403.4375,144908.25,359.405
o1,pinMain,nas,mg,mpicc,64,mg,1,414.3125,106968.375,258.15999999999997
o1,pinMain,nas,mg,mpicc,64,mg,2,412.5,106037.5,256.99875000000003
o1,pinMain,nas,mg,mpicc,64,mg,3,410.125,105138.125,256.3409375
o1,pinMain,nas,sp,mpicc,1,sp,1,771.0,17398646.0,22566.34
o1,pinMain,nas,sp,mpicc,1,sp,2,771.0,17392778.0,22558.73
o1,pinMain,nas,sp,mpicc,1,sp,3,771.0,17400934.0,22569.3
o1,pinMain,nas,sp,mpicc,4,sp,1,479.5,4699959.0,9901.53
o1,pinMain,nas,sp,mpicc,4,sp,2,450.0,4699077.0,10442.395
o1,pinMain,nas,sp,mpicc,4,sp,3,450.0,4698737.0,10441.635
o1,pinMain,nas,sp,mpicc,16,sp,1,365.0,1756130.0,4811.316249999999
o1,pinMain,nas,sp,mpicc,16,sp,2,365.0,1756059.75,4811.123124999998
o1,pinMain,nas,sp,mpicc,16,sp,3,365.0,1755757.0,4810.293749999999
o1,pinMain,nas,sp,mpicc,64,sp,1,333.0,1539983.625,4624.573125
o1,pinMain,nas,sp,mpicc,64,sp,2,333.0,1540047.0,4624.763749999999
o1,pinMain,nas,sp,mpicc,64,sp,3,333.0,1539962.0,4624.5084375
o1,pinAll,nas,bt,mpicc,1,bt,1,727768.0,1894877934.0,2603.68
o1,pinAll,nas,bt,mpicc,1,bt,2,733591.0,1895643874.0,2584.06
o1,pinAll,nas,bt,mpicc,1,bt,3,731168.0,1891088706.0,2586.39
o1,pinAll,nas,bt,mpicc,4,bt,1,930015.5,740820549.0,813.71
o1,pinAll,nas,bt,mpicc,4,bt,2,932886.0,760665976.0,817.62
o1,pinAll,nas,bt,mpicc,4,bt,3,873056.0,716910369.0,865.2949999999998
o1,pinAll,nas,bt,mpicc,16,bt,1,1040131.625,1628715813.25,1578.0181249999996
o1,pinAll,nas,bt,mpicc,16,bt,2,992051.75,1399021703.75,1426.7424999999998
o1,pinAll,nas,bt,mpicc,16,bt,3,757128.5625,606660305.0,809.4493749999999
o1,pinAll,nas,bt,mpicc,64,bt,1,862560.65625,479059221.125,2086.9403125000003
o1,pinAll,nas,bt,mpicc,64,bt,2,829954.5625,1298530801.5,1714.3765624999999
o1,pinAll,nas,bt,mpicc,64,bt,3,708273.125,1137398393.75,1789.4996875000002
o1,pinAll,nas,cg,mpicc,1,cg,1,528475.0,39444550.0,74.64
o1,pinAll,nas,cg,mpicc,1,cg,2,495925.0,39534866.0,79.72
o1,pinAll,nas,cg,mpicc,1,cg,3,533844.0,42281906.0,79.2
o1,pinAll,nas,cg,mpicc,4,cg,1,804848.0,270424914.0,331.09000000000003
o1,pinAll,nas,cg,mpicc,4,cg,2,764347.25,234630707.0,304.675
o1,pinAll,nas,cg,mpicc,4,cg,3,690172.75,198091031.0,286.4875
o1,pinAll,nas,cg,mpicc,16,cg,1,827054.5,620428503.25,753.49
o1,pinAll,nas,cg,mpicc,16,cg,2,796073.625,420340352.5,528.8425
o1,pinAll,nas,cg,mpicc,16,cg,3,773420.375,257400240.75,331.10875
o1,pinAll,nas,cg,mpicc,64,cg,1,1174346.03125,-181459051.375,1893.1653124999996
o1,pinAll,nas,cg,mpicc,64,cg,2,1134543.46875,987236596.125,1346.2571874999999
o1,pinAll,nas,cg,mpicc,64,cg,3,1134543.46875,987236596.125,1346.2571874999999
o1,pinAll,nas,ep,mpicc,1,ep,1,159055.0,-918707090.0,21227.0
