o1,pinAll,nas,bt,mpicc,1,bt,1,2149.52625
o1,pinAll,nas,bt,mpicc,1,bt,2,2130.050625
o1,pinAll,nas,bt,mpicc,1,bt,3,2111.5675
o1,pinAll,nas,bt,mpicc,16,bt,1,140.81504882812484
o1,pinAll,nas,bt,mpicc,16,bt,2,344.46222549019603
o1,pinAll,nas,bt,mpicc,16,bt,3,154.32538085937523
o1,pinAll,nas,bt,mpicc,4,bt,1,295.8592968749997
o1,pinAll,nas,bt,mpicc,4,bt,2,292.8632812499997
o1,pinAll,nas,bt,mpicc,4,bt,3,291.27492187499973
o1,pinAll,nas,bt,mpicc,64,bt,1,230.05855712890732
o1,pinAll,nas,bt,mpicc,64,bt,2,291.017517089842
o1,pinAll,nas,bt,mpicc,64,bt,3,199.0040673828125
o1,pinAll,nas,cg,mpicc,1,cg,1,164.806875
o1,pinAll,nas,cg,mpicc,1,cg,2,181.23875
o1,pinAll,nas,cg,mpicc,1,cg,3,170.91875000000002
o1,pinAll,nas,cg,mpicc,16,cg,1,137.75368164062527
o1,pinAll,nas,cg,mpicc,16,cg,2,146.3840722656256
o1,pinAll,nas,cg,mpicc,16,cg,3,136.11414062500035
o1,pinAll,nas,cg,mpicc,4,cg,1,91.91164062500003
o1,pinAll,nas,cg,mpicc,4,cg,2,93.48031250000003
o1,pinAll,nas,cg,mpicc,4,cg,3,92.31242187500013
