o1,pinAll,mpicc,nas,bt,1,16,1,144.005,0.368,0.173,25252.970703125
o1,pinAll,mpicc,nas,bt,16,256,1,12.629,1.297,0.363,145382.3916015625
o1,pinAll,mpicc,nas,bt,4,64,1,47.173,0.564,0.205,112460.826171875
o1,pinAll,mpicc,nas,bt,64,1024,1,12.176,4.273,0.937,574599.064453125
o1,pinAll,mpicc,nas,cg,1,16,1,30.744,0.376,0.163,17349.8486328125
o1,pinAll,mpicc,nas,cg,16,256,1,11.394,1.248,0.397,145579.064453125
o1,pinAll,mpicc,nas,cg,4,64,1,22.597,0.563,0.222,90902.583984375
o1,pinAll,mpicc,nas,cg,64,1024,1,13.214,4.235,0.992,574798.064453125
o1,pinAll,mpicc,nas,ep,1,16,1,47.298,0.366,0.163,11668.3642578125
o1,pinAll,mpicc,nas,ep,16,256,1,20.512,1.338,0.394,166203.5595703125
o1,pinAll,mpicc,nas,ep,4,64,1,25.67,0.593,0.185,42464.666015625
o1,pinAll,mpicc,nas,ep,64,1024,1,13.08,4.265,0.947,601424.0654296875
o1,pinAll,mpicc,nas,ft,1,16,1,48.582,0.351,0.19,11368.63671875
o1,pinAll,mpicc,nas,ft,16,256,1,19.904,1.326,0.432,305558.75
o1,pinAll,mpicc,nas,ft,4,64,1,25.89,0.551,0.219,56100.4970703125
o1,pinAll,mpicc,nas,ft,64,1024,1,13.42,4.252,0.96,562724.0654296875
o1,pinAll,mpicc,nas,is,1,16,1,13.251,0.37,0.152,9974.3623046875
o1,pinAll,mpicc,nas,is,16,256,1,10.226,1.289,0.368,120311.830078125
o1,pinAll,mpicc,nas,is,4,64,1,15.951,0.553,0.218,45290.0107421875
o1,pinAll,mpicc,nas,is,64,1024,1,10.976,4.315,0.934,564605.314453125
o1,pinAll,mpicc,nas,lu,1,16,1,79.643,0.378,0.158,28154.771484375
o1,pinAll,mpicc,nas,lu,16,256,1,29.451,1.336,0.384,552412.9482421875
o1,pinAll,mpicc,nas,lu,4,64,1,33.814,0.576,0.193,127397.60546875
o1,pinAll,mpicc,nas,lu,64,1024,1,11.674,4.297,0.914,609568.064453125
o1,pinAll,mpicc,nas,mg,1,16,1,18.549,0.38,0.144,12315.0869140625
o1,pinAll,mpicc,nas,mg,16,256,1,15.144,1.347,0.374,214844.333984375
o1,pinAll,mpicc,nas,mg,4,64,1,15.356,0.581,0.184,53229.0791015625
o1,pinAll,mpicc,nas,mg,64,1024,1,17.584,4.41,1.106,835864.111328125
o1,pinAll,mpicc,nas,sp,1,16,1,123.029,0.356,0.165,25049.7314453125
o1,pinAll,mpicc,nas,sp,16,256,1,21.911,1.339,0.421,556861.216796875
o1,pinAll,mpicc,nas,sp,4,64,1,36.08,0.56,0.209,117871.4423828125
o1,pinAll,mpicc,nas,sp,64,1024,1,87.977,4.396,1.281,2218575.1171875
