0.89,4.86,7.33,14.47
0.50,10.58,15.17,6.32
2.24,1.59,0.85,0.66
0.93,1.81,4.75,1.21
0.21,1.14,1.81,0.44
0.90,21.39,29.24,22.83
1.84,4.86,4.69,3.93
0.60,11.84,17.35,13.93
