App,1,,,4,,
,1,2,3,1,2,3
o1.orig.mpicc.nas.bt.1,96.51,99.35,98.33,
o1.orig.mpicc.nas.bt.4,27.84,29.96,28.79,
o1.orig.mpicc.nas.cg.1,22.64,23.30,23.10,
o1.orig.mpicc.nas.cg.4,16.54,14.89,14.49,
o1.orig.mpicc.nas.ep.1,16.41,15.41,14.98,
o1.orig.mpicc.nas.ep.4,10.96,12.12,15.31,
o1.orig.mpicc.nas.ft.1,27.75,29.14,28.25,
o1.orig.mpicc.nas.ft.4,17.21,18.39,18.10,
o1.orig.mpicc.nas.is.1,9.51,11.36,11.00,
o1.orig.mpicc.nas.is.4,18.10,11.72,10.35,
o1.orig.mpicc.nas.lu.1,68.09,66.34,65.99,
o1.orig.mpicc.nas.lu.4,26.23,26.36,25.60,
o1.orig.mpicc.nas.mg.1,13.65,13.79,13.74,
o1.orig.mpicc.nas.mg.4,11.35,11.24,11.55,
o1.orig.mpicc.nas.sp.1,115.64,115.97,116.12,
o1.orig.mpicc.nas.sp.4,28.57,29.18,28.63,
o1.pinAll.mpicc.nas.bt.1,145.05,147.19,148.92,
o1.pinAll.mpicc.nas.bt.4,48.78,48.22,47.85,
o1.pinAll.mpicc.nas.cg.1,31.83,31.82,32.05,
o1.pinAll.mpicc.nas.cg.4,22.28,22.58,22.68,
o1.pinAll.mpicc.nas.ep.1,47.71,48.54,48.89,
o1.pinAll.mpicc.nas.ep.4,25.08,25.88,13.53,
o1.pinAll.mpicc.nas.ft.1,49.75,49.53,50.47,
o1.pinAll.mpicc.nas.ft.4,26.86,27.82,26.98,
o1.pinAll.mpicc.nas.is.1,15.34,14.45,15.47,
o1.pinAll.mpicc.nas.is.4,17.16,16.72,16.37,
o1.pinAll.mpicc.nas.lu.1,82.83,82.60,83.57,
o1.pinAll.mpicc.nas.lu.4,12.16,37.86,37.06,
o1.pinAll.mpicc.nas.mg.1,20.98,20.73,20.92,
o1.pinAll.mpicc.nas.mg.4,18.67,18.73,18.26,
o1.pinAll.mpicc.nas.sp.1,125.47,125.67,125.22,
o1.pinAll.mpicc.nas.sp.4,39.12,40.57,39.03,
o1.pinMain.mpicc.nas.bt.1,162.33,157.22,175.11,
o1.pinMain.mpicc.nas.bt.4,55.81,49.98,49.11,
o1.pinMain.mpicc.nas.cg.1,29.99,29.88,29.34,
o1.pinMain.mpicc.nas.cg.4,86.74,19.61,13.05,
o1.pinMain.mpicc.nas.ep.1,46.39,46.44,47.52,
o1.pinMain.mpicc.nas.ep.4,24.05,21.97,21.95,
o1.pinMain.mpicc.nas.ft.1,48.08,48.53,55.04,
o1.pinMain.mpicc.nas.ft.4,25.03,25.17,25.79,
o1.pinMain.mpicc.nas.is.1,13.21,12.58,11.92,
o1.pinMain.mpicc.nas.is.4,11.91,13.96,12.77,
o1.pinMain.mpicc.nas.lu.1,86.20,79.14,79.94,
o1.pinMain.mpicc.nas.lu.4,13.25,34.82,33.10,
o1.pinMain.mpicc.nas.mg.1,18.33,18.33,19.57,
o1.pinMain.mpicc.nas.mg.4,16.24,16.16,15.78,
o1.pinMain.mpicc.nas.sp.1,123.05,123.18,123.12,
o1.pinMain.mpicc.nas.sp.4,36.75,13.20,12.72,
