App,1,,,4,,,16,,,64,,
,1,2,3,1,2,3,1,2,3,1,2,3
bt,92.58,92.71,93.72,23.07,23.11,23.17,8.84,9.42,11.52,6.39,7.52,8.16,
cg,19.19,19.19,20.81,8.57,8.72,10.06,7.39,7.63,8.68,5.59,7.00,7.42,
ep,11.01,11.03,12.96,5.77,6.75,7.76,3.81,5.03,5.85,4.28,4.93,5.00,
ft,24.22,24.27,26.15,12.50,12.78,13.00,8.59,8.63,8.65,8.93,9.06,9.54,
is,5.37,6.22,7.20,4.67,4.76,9.48,5.10,5.10,7.23,9.05,10.38,14.93,
lu,61.78,61.92,62.47,20.10,20.13,21.04,8.00,8.01,10.00,5.93,6.50,7.41,
mg,9.53,9.59,16.34,5.22,5.39,11.09,4.25,4.27,11.59,4.77,4.84,15.38,
sp,111.76,111.80,112.54,22.47,22.52,24.19,12.37,12.39,12.70,6.89,7.00,12.33,
