App,1,,,4,,
,1,2,3,1,2,3
o1.orig.mpicc.nas.bt.1,92.71,92.58,93.72,
o1.orig.mpicc.nas.bt.16,11.52,9.42,8.84,
o1.orig.mpicc.nas.bt.4,23.07,23.17,23.11,
o1.orig.mpicc.nas.bt.64,8.16,7.52,6.39,
o1.orig.mpicc.nas.cg.1,19.19,20.81,19.19,
o1.orig.mpicc.nas.cg.16,8.68,7.39,7.63,
o1.orig.mpicc.nas.cg.4,8.72,10.06,8.57,
o1.orig.mpicc.nas.cg.64,5.59,7.00,7.42,
o1.orig.mpicc.nas.ep.1,11.03,11.01,12.96,
o1.orig.mpicc.nas.ep.16,5.85,5.03,3.81,
o1.orig.mpicc.nas.ep.4,5.77,6.75,7.76,
o1.orig.mpicc.nas.ep.64,4.28,4.93,5.00,
o1.orig.mpicc.nas.ft.1,24.27,26.15,24.22,
o1.orig.mpicc.nas.ft.16,8.59,8.65,8.63,
o1.orig.mpicc.nas.ft.4,12.78,12.50,13.00,
o1.orig.mpicc.nas.ft.64,9.54,9.06,8.93,
o1.orig.mpicc.nas.is.1,6.22,5.37,7.20,
o1.orig.mpicc.nas.is.16,5.10,5.10,7.23,
o1.orig.mpicc.nas.is.4,4.76,4.67,9.48,
o1.orig.mpicc.nas.is.64,10.38,14.93,9.05,
o1.orig.mpicc.nas.lu.1,61.92,61.78,62.47,
o1.orig.mpicc.nas.lu.16,8.00,8.01,10.00,
o1.orig.mpicc.nas.lu.4,20.13,21.04,20.10,
o1.orig.mpicc.nas.lu.64,5.93,6.50,7.41,
o1.orig.mpicc.nas.mg.1,16.34,9.53,9.59,
o1.orig.mpicc.nas.mg.16,11.59,4.27,4.25,
o1.orig.mpicc.nas.mg.4,11.09,5.39,5.22,
o1.orig.mpicc.nas.mg.64,15.38,4.84,4.77,
o1.orig.mpicc.nas.sp.1,111.76,111.80,112.54,
o1.orig.mpicc.nas.sp.16,12.39,12.70,12.37,
o1.orig.mpicc.nas.sp.4,24.19,22.52,22.47,
o1.orig.mpicc.nas.sp.64,12.33,6.89,7.00,
o1.pinAll.mpicc.nas.bt.1,140.40,140.55,141.15,
o1.pinAll.mpicc.nas.bt.16,20.90,21.19,20.79,
o1.pinAll.mpicc.nas.bt.4,43.05,43.30,43.28,
o1.pinAll.mpicc.nas.bt.64,24.76,28.20,25.99,
o1.pinAll.mpicc.nas.cg.1,28.02,27.73,27.55,
o1.pinAll.mpicc.nas.cg.16,16.22,17.94,17.25,
o1.pinAll.mpicc.nas.cg.4,17.23,19.68,18.13,
o1.pinAll.mpicc.nas.cg.64,39.74,26.55,23.55,
o1.pinAll.mpicc.nas.ep.1,44.82,43.99,44.70,
o1.pinAll.mpicc.nas.ep.16,14.00,14.99,13.31,
o1.pinAll.mpicc.nas.ep.4,18.75,19.25,20.23,
o1.pinAll.mpicc.nas.ep.64,14.58,14.88,51.43,
o1.pinAll.mpicc.nas.ft.1,46.09,46.76,46.60,
o1.pinAll.mpicc.nas.ft.16,16.44,17.43,18.33,
o1.pinAll.mpicc.nas.ft.4,21.83,22.11,22.03,
o1.pinAll.mpicc.nas.ft.64,42.02,34.32,35.41,
o1.pinAll.mpicc.nas.is.1,10.34,10.38,10.43,
o1.pinAll.mpicc.nas.is.16,12.92,13.13,13.73,
o1.pinAll.mpicc.nas.is.4,11.51,12.65,12.73,
o1.pinAll.mpicc.nas.is.64,20.12,90.95,21.68,
o1.pinAll.mpicc.nas.lu.1,77.44,79.44,77.69,
o1.pinAll.mpicc.nas.lu.16,21.46,21.22,21.94,
o1.pinAll.mpicc.nas.lu.4,33.23,32.60,31.38,
o1.pinAll.mpicc.nas.lu.64,45.86,67.10,42.34,
o1.pinAll.mpicc.nas.mg.1,20.73,16.93,18.42,
o1.pinAll.mpicc.nas.mg.16,17.27,14.49,13.80,
o1.pinAll.mpicc.nas.mg.4,21.65,13.52,12.54,
o1.pinAll.mpicc.nas.mg.64,36.41,43.49,35.71,
o1.pinAll.mpicc.nas.sp.1,122.41,122.16,122.44,
o1.pinAll.mpicc.nas.sp.16,25.71,20.01,18.68,
o1.pinAll.mpicc.nas.sp.4,39.95,35.63,35.24,
o1.pinAll.mpicc.nas.sp.64,22.82,26.02,28.79,
o1.pinMain.mpicc.nas.bt.1,153.12,153.75,153.19,
o1.pinMain.mpicc.nas.bt.16,17.94,17.85,18.21,
o1.pinMain.mpicc.nas.bt.4,53.21,45.38,45.23,
o1.pinMain.mpicc.nas.bt.64,54.50,61.40,64.93,
o1.pinMain.mpicc.nas.cg.1,24.66,25.33,24.85,
o1.pinMain.mpicc.nas.cg.16,13.11,13.84,14.40,
o1.pinMain.mpicc.nas.cg.4,16.22,19.89,20.81,
o1.pinMain.mpicc.nas.cg.64,16.96,17.21,18.20,
o1.pinMain.mpicc.nas.ep.1,41.93,41.52,41.29,
o1.pinMain.mpicc.nas.ep.16,9.84,9.69,9.50,
o1.pinMain.mpicc.nas.ep.4,16.57,16.48,17.34,
o1.pinMain.mpicc.nas.ep.64,11.74,12.48,11.86,
o1.pinMain.mpicc.nas.ft.1,45.84,43.68,43.78,
o1.pinMain.mpicc.nas.ft.16,13.09,12.55,12.80,
o1.pinMain.mpicc.nas.ft.4,20.42,19.15,21.00,
o1.pinMain.mpicc.nas.ft.64,17.02,16.76,89.27,
o1.pinMain.mpicc.nas.is.1,8.01,7.95,7.89,
o1.pinMain.mpicc.nas.is.16,9.11,9.07,8.91,
o1.pinMain.mpicc.nas.is.4,8.63,8.52,9.46,
o1.pinMain.mpicc.nas.is.64,198.96,16.80,91.93,
o1.pinMain.mpicc.nas.lu.1,75.26,74.56,74.40,
o1.pinMain.mpicc.nas.lu.16,19.60,19.24,17.45,
o1.pinMain.mpicc.nas.lu.4,28.49,28.02,28.91,
o1.pinMain.mpicc.nas.lu.64,26.73,25.43,25.60,
o1.pinMain.mpicc.nas.mg.1,19.45,13.93,13.90,
o1.pinMain.mpicc.nas.mg.16,13.81,8.59,9.90,
o1.pinMain.mpicc.nas.mg.4,16.83,9.86,10.14,
o1.pinMain.mpicc.nas.mg.64,16.59,12.07,17.47,
o1.pinMain.mpicc.nas.sp.1,118.48,118.37,118.47,
o1.pinMain.mpicc.nas.sp.16,14.72,16.49,24.40,
o1.pinMain.mpicc.nas.sp.4,33.05,31.06,32.46,
o1.pinMain.mpicc.nas.sp.64,18.06,16.34,17.36,
