Tool,App,Slowdown(real)(s),Trace Size(MB)
pinAll,mg,2.2,51.92
pinAll,sp,1.6,115.72
pinAll,ex0-1,7.77,4643.81
pinAll,ex0-2,8.05,9339.0
pinAll,ex1-1,0.0,0.0
pinAll,ex1-2,7.01,9296.29
pinAll,ex2-1,0.0,0.0
pinAll,ex2-2,0.0,0.0
pinAll,ex3-1,0.0,0.0
pinAll,ex3-2,0.0,0.0
pinMain,amg1,1.56,532.45
pinMain,amg2,1.63,297.01
pinMain,amg3,1.67,114.63
pinMain,amg4,1.97,116.99
pinMain,fe,3.41,0.51
pinMain,fv1,0.62,350.71
pinMain,fv2,0.64,357.11
pinMain,fv3,1.13,370.1
pinMain,bt,2.07,16.64
pinMain,cg,2.08,16.89
pinMain,ep,2.48,2.07
pinMain,ft,1.58,2.77
pinMain,is,1.41,0.96
pinMain,lu,1.39,44.28
pinMain,mg,1.7,4.72
pinMain,sp,1.4,26.73
pinMain,ex0-1,10.68,4274.42
pinMain,ex0-2,11.14,8641.31
pinMain,ex1-1,0.0,0.0
pinMain,ex1-2,9.62,548.48
pinMain,ex2-1,0.0,0.0
pinMain,ex2-2,0.0,0.0
pinMain,ex3-1,0.0,0.0
pinMain,ex3-2,0.0,0.0
tau_exec,amg1,1.19,3236.26
tau_exec,amg2,1.19,2672.15
tau_exec,amg3,1.26,1900.76
tau_exec,amg4,1.42,2052.24
tau_exec,fe,1.16,1000.13
tau_exec,fv1,1.0,20440.79
tau_exec,fv2,1.14,19140.83
tau_exec,fv3,1.04,27231.04
tau_exec,bt,1.06,519.54
tau_exec,cg,1.1,938.24
tau_exec,ep,0.86,1.0
tau_exec,ft,0.87,1.6
tau_exec,is,0.81,1.74
tau_exec,lu,1.53,4161.57
tau_exec,mg,1.0,149.95
tau_exec,sp,1.05,886.47
tau_exec,ex0-1,1.01,1223.31
tau_exec,ex0-2,1.02,1519.22
tau_exec,ex1-1,1.04,1222.59
tau_exec,ex1-2,1.0,1518.52
tau_exec,ex2-1,1.03,1222.64
tau_exec,ex2-2,1.03,1518.57
tau_exec,ex3-1,1.03,1254.34
tau_exec,ex3-2,1.0,1550.03
