Experiment,1/16,4/64,16/256,64/1024
orig.scorep.nas.bt,93.58,23.97,13.28,11.80
orig.scorep.nas.cg,19.74,9.94,6.60,12.42
orig.scorep.nas.ep,12.25,6.60,5.14,7.39
orig.scorep.nas.ft,24.61,12.58,9.05,16.33
orig.scorep.nas.is,6.75,6.33,5.50,13.86
orig.scorep.nas.lu,62.62,21.21,10.13,12.33
orig.scorep.nas.mg,11.54,8.28,8.06,10.53
orig.scorep.nas.sp,112.86,23.59,13.14,14.36
orig.tau.nas.bt,93.14,25.31,12.10,14.68
orig.tau.nas.cg,21.03,11.34,10.17,12.75
orig.tau.nas.ep,11.26,7.40,4.82,19.13
orig.tau.nas.ft,24.95,12.05,8.11,11.44
orig.tau.nas.is,6.70,6.10,5.58,13.26
orig.tau.nas.lu,71.03,31.98,24.42,29.61
orig.tau.nas.mg,11.40,8.84,7.84,13.56
orig.tau.nas.sp,112.64,24.52,13.25,22.43
pinAll.mpicc.amg.amg1,80.48,97.59,111.20,171.70
pinAll.mpicc.amg.amg2,41.34,52.10,62.78,116.48
pinAll.mpicc.amg.amg3,20.04,25.88,27.86,54.09
pinAll.mpicc.amg.amg4,18.22,24.41,30.30,69.13
pinAll.mpicc.hpgmg.fe,82.47,96.26,147.75,230.95
pinAll.mpicc.hpgmg.fv1,126.39,121.45,100.04,339.08
pinAll.mpicc.hpgmg.fv2,111.95,124.30,155.19,210.81
pinAll.mpicc.hpgmg.fv3,216.48,220.52,229.55,231.97
pinAll.mpicc.nas.bt,140.70,43.21,20.96,26.32
pinAll.mpicc.nas.cg,27.76,18.35,17.14,29.95
pinAll.mpicc.nas.ep,44.50,19.41,14.10,26.96
pinAll.mpicc.nas.ft,46.48,21.99,17.40,37.25
pinAll.mpicc.nas.is,10.38,12.30,13.26,44.25
pinAll.mpicc.nas.lu,78.19,32.41,21.54,51.77
pinAll.mpicc.nas.mg,18.69,15.91,15.19,38.54
pinAll.mpicc.nas.sp,122.33,36.94,21.47,25.88
pinMain.mpicc.amg.amg1,60.00,66.68,122.01,262.86
pinMain.mpicc.amg.amg2,31.60,36.57,47.08,125.83
pinMain.mpicc.amg.amg3,14.87,19.65,26.87,38.51
pinMain.mpicc.amg.amg4,15.47,19.59,24.52,50.40
pinMain.mpicc.hpgmg.fe,46.58,57.41,98.69,92.33
pinMain.mpicc.hpgmg.fv1,127.49,107.96,69.01,92.10
pinMain.mpicc.hpgmg.fv2,101.32,110.85,129.69,102.14
pinMain.mpicc.hpgmg.fv3,222.15,228.38,225.65,245.86
pinMain.mpicc.nas.bt,153.35,47.94,18.00,60.28
pinMain.mpicc.nas.cg,24.95,18.98,13.78,17.46
pinMain.mpicc.nas.ep,41.58,16.80,9.67,12.03
pinMain.mpicc.nas.ft,44.44,20.19,12.81,41.02
pinMain.mpicc.nas.is,7.95,8.87,9.03,102.56
pinMain.mpicc.nas.lu,74.74,28.48,18.77,25.92
pinMain.mpicc.nas.mg,15.76,12.28,10.77,15.37
pinMain.mpicc.nas.sp,118.44,32.19,18.54,17.26
tau_exec.mpicc.amg.amg1,37.56,50.70,64.69,144.71
tau_exec.mpicc.amg.amg2,18.76,26.72,39.86,70.01
tau_exec.mpicc.amg.amg3,9.70,14.88,48.57,64.40
tau_exec.mpicc.amg.amg4,7.13,14.15,24.77,48.83
tau_exec.mpicc.hpgmg.fe,15.34,19.55,24.09,80.21
tau_exec.mpicc.hpgmg.fv1,161.61,173.30,176.27,214.65
tau_exec.mpicc.hpgmg.fv2,178.41,198.53,183.89,205.16
tau_exec.mpicc.hpgmg.fv3,201.25,210.05,220.43,284.39
tau_exec.mpicc.nas.bt,93.28,24.53,12.40,17.48
tau_exec.mpicc.nas.cg,19.91,10.02,8.50,18.32
tau_exec.mpicc.nas.ep,10.91,5.80,4.23,9.15
tau_exec.mpicc.nas.ft,23.84,11.13,8.81,14.15
tau_exec.mpicc.nas.is,5.76,5.09,4.85,17.69
tau_exec.mpicc.nas.lu,71.05,31.26,22.17,32.66
tau_exec.mpicc.nas.mg,11.38,7.26,5.86,11.47
tau_exec.mpicc.nas.sp,112.21,24.16,12.89,27.91
